 * Running on http://0.0.0.0:5999/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Apr/2017 10:48:30] "GET / HTTP/1.1" 401 -
127.0.0.1 - - [01/Apr/2017 10:48:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:48:32] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [01/Apr/2017 10:56:09] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:34] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:35] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:37] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:43] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:56:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:57:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:58:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 10:59:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:00:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:00:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:00:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:00:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:00:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:00:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:01:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:01:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:01:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:01:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:01:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:01:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:02:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:02:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:02:20] "GET / HTTP/1.1" 200 -
